name,Id,親カテ,子カテ,ancestry,size_id
レディース,1,1,,,
トップス,2,1,2,1,
Tシャツ/カットソー(半袖/袖なし),3,1,2,1/2,1
Tシャツ/カットソー(七分/長袖),4,1,2,1/2,1
シャツ/ブラウス(半袖/袖なし),5,1,2,1/2,1
シャツ/ブラウス(七分/長袖),6,1,2,1/2,1
ポロシャツ,7,1,2,1/2,1
キャミソール,8,1,2,1/2,1
タンクトップ,9,1,2,1/2,1
ホルターネック,10,1,2,1/2,1
ニット/セーター,11,1,2,1/2,1
チュニック,12,1,2,1/2,1
カーディガン/ボレロ,13,1,2,1/2,1
アンサンブル,14,1,2,1/2,1
ベスト/ジレ,15,1,2,1/2,1
パーカー,16,1,2,1/2,1
トレーナー/スウェット,17,1,2,1/2,1
ベアトップ/チューブトップ,18,1,2,1/2,1
ジャージ,19,1,2,1/2,1
その他,20,1,2,1/2,1
ジャケット/アウター,21,1,21,1,
テーラードジャケット,22,1,21,1/21,1
ノーカラージャケット,23,1,21,1/21,1
Gジャン/デニムジャケット,24,1,21,1/21,1
レザージャケット,25,1,21,1/21,1
ダウンジャケット,26,1,21,1/21,1
ライダースジャケット,27,1,21,1/21,1
ミリタリージャケット,28,1,21,1/21,1
ダウンベスト,29,1,21,1/21,1
ジャンパー/ブルゾン,30,1,21,1/21,1
ポンチョ,31,1,21,1/21,1
ロングコート,32,1,21,1/21,1
トレンチコート,33,1,21,1/21,1
ダッフルコート,34,1,21,1/21,1
ピーコート,35,1,21,1/21,1
チェスターコート,36,1,21,1/21,1
モッズコート,37,1,21,1/21,1
スタジャン,38,1,21,1/21,1
毛皮/ファーコート,39,1,21,1/21,1
スプリングコート,40,1,21,1/21,1
スカジャン,41,1,21,1/21,1
その他,42,1,21,1/21,1
パンツ,43,1,43,1,
デニム/ジーンズ,44,1,43,1/43,1
ショートパンツ,45,1,43,1/43,1
カジュアルパンツ,46,1,43,1/43,1
ハーフパンツ,47,1,43,1/43,1
チノパン,48,1,43,1/43,1
ワークパンツ/カーゴパンツ,49,1,43,1/43,1
クロップドパンツ,50,1,43,1/43,1
サロペット/オーバーオール,51,1,43,1/43,1
オールインワン,52,1,43,1/43,1
サルエルパンツ,53,1,43,1/43,1
ガウチョパンツ,54,1,43,1/43,1
その他,55,1,43,1/43,1
スカート,56,1,56,1,
ミニスカート,57,1,56,1/56,46
ひざ丈スカート,58,1,56,1/56,46
ロングスカート,59,1,56,1/56,46
キュロット,60,1,56,1/56,46
その他,61,1,56,1/56,46
ワンピース,62,1,62,1,
ミニワンピース,63,1,62,1/62,46
ひざ丈ワンピース,64,1,62,1/62,46
ロングワンピース,65,1,62,1/62,46
その他,66,1,62,1/62,46
靴,67,1,67,1,
ハイヒール/パンプス,68,1,67,1/67,29
ブーツ,69,1,67,1/67,29
サンダル,70,1,67,1/67,29
スニーカー,71,1,67,1/67,29
ミュール,72,1,67,1/67,29
モカシン,73,1,67,1/67,29
ローファー/革靴,74,1,67,1/67,29
フラットシューズ/バレエシューズ,75,1,67,1/67,29
長靴/レインシューズ,76,1,67,1/67,29
